day	Anno	celltype	UMAP_1	UMAP_2	Arid3b	Bcl11a	Cdx1	Cdx2	Cdx4	Dlx5	Etv4	Evx1	Foxb1	Foxc1	Foxc2	Foxf1	Gata4	Gata6	Gbx2	Gtf3a	Hand1	Hes3	Hes7	Hoxa1	Hoxa2	Hoxa3	Hoxa5	Hoxa7	Hoxb1	Hoxb2	Hoxb4	Hoxb6	Hoxb7	Hoxb8	Hoxb9	Hoxc4	Hoxc6	Hoxc8	Hoxc9	Hoxd1	Hoxd4	Irx1	Irx3	Irx5	Isl1	Jun	Jund	Klf5	Lef1	Lhx1	Lin28a	Lin28b	Meis2	Mesp1	Mesp2	Msx1	Mycn	Nkx1-2	Nr6a1	Otx2	Pbx1	Pbx3	Peg3	Pin1	Pknox2	Pou3f1	Pou5f1	Prrx2	Rarg	Rxrg	Snai1	Sox2	Sox3	Sp5	Sp6	Sp8	T	Tbx6	Tcf7	Tcf7l1	Tlx2	Tsc22d1	Twist1	Ybx1	Zfp428	Zfp503	Zfp703	Zic2	Zic3
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.33	3.07	0	0	2.3	3	0	0	0	2.3	2.3	0	0	0	0	0	0	3.3	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	2.3	0	3	2.3	2.3	0	0	0	0	0	4.4	0	0	4.9	0	0	0	0	3	0	3.3	2.3	0	4.9	0	3	0	0	2.3	0	6.1	3	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.01	1.37	0	0	3.1	3.5	0	1.8	0	2.4	1.8	0	0	0	0	0	1.8	0	0	0	0	2.8	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	0	2.4	0	0	0	3.1	1.8	0	0	3.3	1.8	0	0	0	0	2.4	2.4	0	0	4.9	0	2.4	1.8	0	0	0	3.7	0	1.8	4.4	1.8	0	0	0	2.4	0	5.8	3.7	2.4	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.79	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	2.1	2.7	2.1	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	2.1	0	3.1	0	2.1	2.1	0	2.1	2.7	0	0	0	0	0	2.1	3.6	0	0	4.7	0	0	0	0	0	0	3.1	0	0	2.7	0	0	0	0	0	0	5.8	3.1	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.59	1.77	2.6	0	2.6	3	0	0	2.6	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	2	0	2.6	2.6	0	0	2	0	0	0	2	0	3	3.3	0	0	4.8	0	0	0	2.6	0	0	3.3	0	0	4.8	0	2	0	0	3.3	0	6	2	0	0	0	2
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.66	0.48	0	0	2.3	3	0	3	2.3	2.3	0	0	0	0	0	0	0	0	2.3	0	0	2.3	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	2.3	0	2.3	0	2.3	2.3	0	0	0	0	0	2.3	0	0	2.3	0	3	3	0	0	4.2	0	0	2.3	0	0	0	3.4	2.3	2.3	4.6	0	2.3	2.3	0	3.4	0	6	3	0	0	0	2.3
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.24	1.05	0	0	0	2.2	0	0	0	2.2	2.8	0	0	0	0	0	2.2	2.2	0	0	2.2	0	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	2.2	0	2.2	0	0	0	0	2.2	2.2	2.2	0	0	0	0	2.8	3.2	0	0	4.5	0	2.2	2.2	0	0	0	2.8	0	0	4.3	2.2	0	0	0	2.2	0	5.8	3.2	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.25	0.24	0	0	2.7	3.9	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	3.1	0	2.7	0	2.1	2.1	3.8	2.7	0	0	0	2.1	0	3.6	0	0	4.1	0	2.7	0	0	0	0	3.1	0	0	0	0	0	0	0	2.7	0	6	3.1	0	0	0	2.7
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.67	2.39	2.6	0	3	3.7	0	0	2	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2.6	0	0	0	0	2	0	2	2	0	2.6	2	3	3.3	2	0	5	2	2	0	0	0	2.6	0	0	0	4.4	0	0	0	0	2.6	0	6.2	3.7	0	0	0	2
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	5.73	-0.96	0	0	2	0	2	0	0	2	2	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	2.6	0	2	0	2.6	0	2.6	0	0	0	2.6	2	0	0	0	0	2.6	3	0	2	4.5	0	2	2	0	0	0	3.3	0	0	4	0	2	0	0	0	0	5.8	3.6	0	2	0	2.6
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.87	3.69	0	0	3.9	3.5	0	0	0	2.2	3.5	0	0	0	0	0	0	0	0	2.2	2.2	0	0	0	0	0	2.2	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	2.2	0	0	0	0	0	0	2.2	0	0	2.2	0	3.5	0	0	0	4.7	0	0	2.2	0	0	0	3.2	0	0	4.5	0	0	0	0	2.9	0	5.6	3.9	0	0	0	2.2
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.14	1.85	1.8	1.8	2.4	0	0	0	1.8	3.1	0	0	0	0	0	0	0	1.8	0	0	3.1	1.8	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	0	2.4	1.8	1.8	0	2.4	2.4	0	0	3.6	1.8	0	0	0	0	2.4	4	1.8	0	4.9	0	0	3.1	1.8	0	0	4	0	0	5.3	3.3	0	0	0	2.4	0	6	2.4	0	2.4	0	2.4
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.72	-0.89	0	0	2	3	0	0	2	2.6	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2.6	0	2.6	2	0	0	0	0	2	3	0	0	0	2	3.3	3.7	0	0	4.3	0	2.6	2.6	0	0	0	3	0	0	3	0	2	0	0	2.6	0	6	3	2.6	2.6	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.99	-0.83	0	0	0	3.1	0	0	0	2.9	0	0	0	0	0	0	0	2.3	2.9	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	1.7	0	0	0	0	0	2.7	2.9	0	0	0	1.7	1.7	1.7	0	0	1.7	0	1.7	1.7	0	0	0	1.7	3.6	0	0	4.7	0	1.7	0	0	0	0	0	1.7	0	0	0	1.7	1.7	0	1.7	0	6.1	2.9	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.48	-3.6	0	0	2.8	2.8	0	2.2	0	0	0	0	0	0	0	0	0	2.2	2.8	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	2.2	0	0	0	3.5	3.5	2.2	3.2	0	2.2	0	2.2	2.2	0	0	4.2	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3.7	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	5.69	-0.28	0	0	2.5	3.1	0	1.9	0	3.1	0	0	0	0	0	0	1.9	2.5	0	0	0	1.9	0	0	0	0	0	2.8	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	2.8	0	2.5	0	0	1.9	0	2.8	2.8	0	1.9	0	2.5	0	2.8	3.3	0	0	4.4	0	0	0	1.9	1.9	0	3.3	0	0	3.7	0	1.9	0	0	0	0	5.8	3.8	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.79	1.45	2.1	0	2.1	3.1	0	0	0	0	3.1	0	0	0	0	0	2.8	2.1	0	0	0	2.1	0	0	0	0	3.8	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	3.4	0	0	0	2.1	2.8	0	0	2.1	0	2.8	3.4	0	0	5	0	0	0	0	0	0	3.1	0	2.1	5.1	2.8	2.1	0	0	2.8	0	6.1	2.8	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.3	-1	2.6	0	3.5	3.8	0	0	2.6	0	0	0	0	0	0	0	2	3.5	0	0	3	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	3.3	0	0	0	0	4.2	2	0	0	2	3	3.5	0	0	4.6	0	0	2	0	2	0	0	0	0	4	0	0	0	0	3	0	6	3.3	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.8	-1.47	0	0	2.6	2	0	0	0	2	0	0	0	0	0	0	0	2.6	3	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	2	0	2	0	2	0	2.6	4.4	0	2	0	0	2	0	0	0	2.6	3	0	0	4.7	0	2	0	0	0	0	2.6	0	0	3.8	0	0	2	0	2	0	5.7	0	0	0	0	2
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.18	3.56	0	0	3.2	3.5	0	0	0	0	2.7	0	0	0	0	0	1.7	0	0	1.7	1.7	1.7	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	1.7	0	2.3	0	1.7	0	0	1.7	1.7	3.7	1.7	0	0	0	3	3	2.3	0	4.9	0	2.3	0	0	1.7	0	3.9	0	0	3.5	0	0	0	0	2.3	0	6	3.9	0	0	1.7	3.2
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.1	-2.1	0	0	1.9	3.5	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	1.9	0	1.9	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	3.1	0	0	0	0	2.8	0	0	0	0	2.5	2.8	0	0	4.7	0	0	1.9	0	0	0	3.8	0	0	3.7	0	2.5	0	0	2.5	0	5.8	3.9	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.69	2.47	1.9	0	1.9	3.2	0	0	2.5	0	3.7	0	0	0	0	0	1.9	3.4	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	2.9	3.2	0	0	0	0	2.5	3.5	0	0	4.8	0	1.9	1.9	0	0	0	2.9	0	0	3.7	2.5	0	0	0	2.5	0	5.9	3.8	0	0	0	3.4
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.32	2.93	0	0	0	3	0	0	0	2.3	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	2.3	0	0	0	0	2.3	0	0	0	0	2.3	3	0	0	4.4	0	0	0	0	0	0	3.6	0	0	2.3	0	0	0	0	0	0	5.7	3	0	0	0	2.3
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.27	-1.38	0	0	0	3	0	0	0	0	3.3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	3.7	3.3	0	0	0	0	2	3.5	0	0	4.9	0	0	0	0	0	0	3.5	0	0	2.6	0	0	0	0	3	0	6	2.6	0	0	2	2.6
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.37	-4.07	2.4	0	1.8	4	1.8	0	0	0	0	0	0	0	0	0	0	2.4	3	0	0	1.8	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2.7	0	2.7	0	0	3	3	1.8	0	0	2.4	1.8	4.1	3	0	0	4.5	0	0	1.8	0	0	1.8	1.8	0	1.8	3.2	0	1.8	0	1.8	0	0	6.1	2.4	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.19	-3.67	0	0	2.5	4	0	1.9	1.9	2.5	0	0	0	0	0	0	0	1.9	1.9	0	0	2.5	1.9	0	0	1.9	1.9	3.3	0	0	2.5	1.9	0	0	0	0	0	2.5	0	0	0	0	0	1.9	1.9	0	3.1	0	0	0	0	1.9	0	3.9	2.5	2.9	1.9	0	0	0	3.8	4.3	0	0	4.8	0	0	1.9	0	0	0	2.5	0	0	3.7	0	1.9	0	0	0	0	6	3.7	1.9	0	0	1.9
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.28	3.1	0	0	1.9	4	0	0	1.9	1.9	3.4	0	0	0	0	0	1.9	1.9	0	0	2.9	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	2.6	1.9	1.9	0	0	0	0	2.6	0	0	2.6	0	2.6	3.2	0	0	4.6	0	0	0	0	0	0	2.9	0	2.6	4.7	0	2.6	0	0	3.4	0	5.8	3.2	0	0	1.9	3.4
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.25	-2.85	0	0	2.8	4	0	1.4	2	3	0	0	0	0	1.4	0	1.4	0	2	0	2.3	0	1.4	0	0	0	2	2.8	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	2.3	1.4	0	0	0	0	2.3	2	2	0	2.8	3	2.3	1.4	0	1.4	0	2	3.4	1.4	2	4.4	0	0	2.6	0	1.4	0	2.8	0	0	4	1.4	2	0	0	2.3	0	6	3.1	1.4	0	0	2
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.91	-3.77	0	2.2	0	3.7	1.6	0	0	1.6	0	0	0	0	0	0	0	2.5	3.5	0	0	1.6	1.6	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	1.6	1.6	2.2	1.6	1.6	0	0	2.5	2.8	3	0	2.8	2.5	0	1.6	0	0	0	3	1.6	0	0	4.4	1.6	1.6	0	0	0	0	0	1.6	0	3.2	0	0	1.6	0	2.5	0	6	2.2	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.82	-0.19	0	0	0	4.2	0	0	2.6	0	0	0	0	0	0	0	0	2.6	0	0	2.6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	3.3	0	2.6	2	0	2	0	0	2	2	3.7	0	0	4.6	0	0	0	2	0	0	3.5	0	0	4.3	2	0	0	0	2.6	0	5.9	2.6	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.58	-2.18	0	0	3.4	3	0	0	0	3	2.3	0	0	0	0	0	1.7	1.7	1.7	0	1.7	2.3	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	3	1.7	2.7	1.7	0	2.3	2.7	3.5	4.2	0	3	2.7	1.7	1.7	0	1.7	0	3.5	3.6	0	0	4.6	0	1.7	0	0	0	0	3.2	0	0	4.5	2.3	1.7	0	0	3	0	5.9	3.6	0	0	0	1.7
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.78	0.15	0	0	0	3	0	0	0	3.5	0	0	0	0	0	0	0	2.6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2.6	0	2	0	0	0	0	3	2	0	0	0	0	2	3.5	3.5	0	0	4.4	0	2.6	0	0	0	0	3.8	0	0	4	0	0	0	0	2	0	5.9	2	0	0	0	2
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.07	1.43	0	0	0	4.4	0	0	0	2.4	0	0	0	1.8	0	0	1.8	2.7	0	0	2.4	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	2.4	1.8	1.8	0	2.4	1.8	1.8	0	0	3.8	1.8	1.8	1.8	0	1.8	0	3.5	3.9	0	0	4.8	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	2.4	0	6.1	3.7	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.07	1.18	0	0	2.7	3.8	0	0	2.7	0	2.7	0	0	0	0	0	2.7	0	0	3.4	3.8	0	2.7	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	3.4	0	0	2.7	0	0	0	2.7	0	0	0	4.1	0	0	0	0	0	3.4	2.7	0	0	4.1	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	6	2.7	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.09	2.28	0	0	2.2	4.1	0	0	0	2.2	3.5	0	0	0	0	2.2	2.8	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	3.2	0	0	2.2	2.2	0	0	0	2.2	2.2	0	0	0	0	2.8	3.7	0	2.2	4.8	0	0	2.2	0	0	2.2	3.5	0	2.2	4.4	0	2.2	2.2	0	2.2	0	6.1	2.8	0	2.2	0	2.2
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.41	-2.25	0	0	0	1.7	1.7	1.7	1.7	2.6	2.6	0	0	0	0	0	0	1.7	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	2.6	0	1.7	0	2.2	1.7	0	2.2	3.1	0	1.7	0	0	0	2.9	3.1	0	0	4.7	0	2.2	2.6	0	0	0	3.5	0	0	4.2	0	1.7	0	0	2.2	0	5.7	2.9	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.81	-1.73	0	0	2.5	3.5	0	0	0	3.1	2.5	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	2.5	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	2.5	0	0	2.5	0	0	0	3.1	0	0	3.5	0	3.1	0	0	0	0	3.1	0	0	0	3.8	0	0	0	2.5	0	0	2.5	0	0	3.8	0	0	0	2.5	0	0	6.4	3.5	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.76	-1.61	0	2.3	0	3.6	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	2.3	0	2.3	2.3	2.3	0	0	2.3	2.9	2.9	0	0	0	2.9	4.3	0	0	4.9	0	0	0	0	0	0	3.3	0	0	4.2	0	2.3	0	0	3.3	0	6	2.9	0	0	0	3.3
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.64	1.35	2.1	0	0	3.7	0	0	0	2.7	2.1	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	2.1	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	2.1	0	2.1	0	3.1	3.6	0	0	2.7	0	0	2.1	0	0	2.1	2.7	0	0	4.3	0	0	2.1	2.1	0	0	2.1	0	0	5.2	2.1	2.1	0	0	2.7	0	5.9	3.1	0	2.1	0	3.1
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.78	-0.41	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	2.7	0	3.4	0	2.7	3.4	0	0	2.7	0	0	0	0	0	0	2.7	0	0	0	2.7	3.8	0	0	4.3	0	0	0	0	0	0	4.3	0	3.4	2.7	0	0	0	0	3.4	0	6	0	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.81	4.46	0	0	1.5	2.5	0	0	0	1.5	0	0	0	0	0	0	1.5	1.5	0	0	3.1	0	0	0	0	0	2.1	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	1.5	2.5	0	0	0	2.1	2.1	0	0	1.5	1.5	0	0	0	0	2.1	3.7	1.5	0	5	0	1.5	2.5	2.1	0	0	3.3	0	1.5	4.9	2.8	2.1	1.5	0	3.7	0	5.9	2.1	0	0	0	1.5
