day	Anno	celltype	UMAP_1	UMAP_2	Arid3a	Bcl11a	Bmp4	Cdx1	Cdx2	Cdx4	Eomes	Etv2	Fos	Foxb1	Foxc2	Foxf1	Foxo4	Fzd4	Gata4	Gata6	Gbx2	Gsc	Hand1	Hand2	Hes1	Hes7	Hmga1	Hoxa1	Hoxa2	Hoxa3	Hoxa5	Hoxb1	Hoxb2	Hoxb4	Hoxb5	Hoxb6	Hoxb8	Hoxb9	Hoxc4	Hoxd1	Hoxd4	Hoxd9	Irf1	Irx1	Irx5	Isl1	Klf5	Klf6	Lef1	Lhx1	Lin28a	Meis2	Meox1	Mesp1	Mesp2	Mixl1	Msx1	Msx2	Myc	Nr6a1	Osr1	Otx2	Pax2	Peg3	Pin1	Pou5f1	Prdm6	Prrx1	Prrx2	Rxrg	Six2	Sox4	Sox9	Sp5	Tbx20	Tbx3	Tbx6	Tcf7l2	Tgif1	Ybx1	Zfp503	Zfp703	Zic3	Zic5
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	0.85	-2.64	0	0	0	0	3.4	1.9	0	0	0	0	0	3.4	0	0	0	0	0	0	4.2	0	2.9	0	2.9	0	0	0	0	3.2	2.5	0	0	0	0	0	0	0	0	0	1.9	0	0	1.9	0	2.9	2.5	1.9	1.9	2.5	0	4	0	1.9	2.5	2.9	0	2.5	0	0	0	3.2	3.7	3.7	0	0	0	0	0	3.4	0	1.9	0	1.9	0	0	1.9	6.2	2.5	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-0.25	-3.31	0	0	2.5	0	3.8	2.5	1.9	0	0	0	0	2.5	0	0	0	0	0	0	4.5	0	3.9	0	1.9	1.9	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	3.1	0	0	1.9	0	0	2.5	0	4.6	0	1.9	1.9	3.5	0	0	0	0	0	3.8	3.8	3.8	0	0	0	0	0	2.8	0	0	0	0	0	1.9	1.9	6	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-2.47	-0.86	0	0	2.6	0	3	0	2	0	0	0	0	2.6	0	0	2	2	0	0	3.3	0	4.1	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	2.6	0	3.7	2	2	3.3	0	0	4	2	0	2	2.6	0	0	0	0	0	3.3	3.3	2	2	0	0	0	0	2.6	2	0	0	0	0	0	0	5.7	0	0	2	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-4.67	2.67	0	0	3.3	0	0	0	0	2.3	0	0	0	3.3	0	0	2.3	2.3	0	0	2.3	2.3	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	2.9	0	0	2.3	2.3	3.6	0	0	0	0	2.9	3.8	0	0	0	0	0	0	2.3	0	0	0	2.3	0	0	0	5.8	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	2.02	-1.82	0	0	2.5	1.9	3.7	3.2	0	0	2.5	0	0	2.9	0	1.9	0	0	0	0	4.7	0	2.9	0	2.5	2.9	0	0	0	3.2	3.4	0	0	0	0	0	0	0	0	0	1.9	0	0	2.5	0	3.4	2.5	0	2.5	2.5	0	4	1.9	2.5	2.9	3.2	2.9	0	2.5	0	0	3.6	3.2	4.1	0	0	1.9	1.9	0	1.9	0	0	0	0	0	0	0	6.1	0	1.9	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-2.77	-2.19	1.9	0	2.5	1.9	2.5	0	0	0	0	0	0	3.5	1.9	0	0	1.9	0	0	3.7	0	3.3	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	2.9	0	0	1.9	0	0	0	0	0	3.8	3.1	0	0	0	0	0	3.7	4.1	3.1	1.9	0	0	0	0	0	1.9	0	0	2.9	0	0	2.5	6	0	2.5	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-2.97	1.92	0	0	0	0	0	0	2.2	0	0	0	0	3.8	0	0	0	2.2	0	0	4.3	0	3.8	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	2.9	0	0	2.2	0	0	3.5	0	0	4.4	3.8	2.2	0	0	0	0	3.9	3.3	2.9	2.2	0	0	0	0	2.2	0	0	2.9	3.5	0	0	0	5.6	0	0	2.2	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	0.65	-2.54	0	0	3.8	0	2.1	0	2.1	0	3.8	0	0	3.6	0	0	0	0	0	0	3.9	0	4.2	0	3.6	0	0	0	0	0	2.1	0	0	0	0	0	0	2.7	0	0	2.1	0	0	2.1	0	2.1	2.7	0	0	3.1	0	4.4	0	2.7	0	2.1	0	0	0	0	0	3.1	3.4	3.9	0	0	0	0	0	2.7	0	2.1	0	0	0	0	2.1	5.9	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-4.41	-1.43	1.2	0	2.5	0	1.7	0	2.7	2.7	1.7	0	0	3.5	1.7	0	2.1	1.7	0	0	3.8	1.7	2.3	0	3.4	0	0	0	0	0	1.7	0	1.2	1.2	0	0	0	1.7	0	0	0	0	0	1.2	0	2.8	1.7	1.2	2.5	1.2	0	4.1	2.1	0	2.5	3.4	0	0	0	0	0	3.3	4.2	2.1	1.7	0	0	0	0	2.3	0	2.1	1.7	1.7	0	0	2.3	6.1	0	0	0	1.7
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	1.88	-1.37	1.9	0	2.5	2.9	2.9	3.7	0	0	0	0	0	2.9	0	0	0	0	0	0	4.4	0	3.7	0	3.8	0	0	0	0	2.5	1.9	0	0	1.9	0	0	0	0	0	1.9	0	0	0	2.5	0	0	1.9	0	1.9	0	0	3.1	0	2.5	2.5	2.9	0	0	0	0	0	3.1	3.1	3.5	1.9	0	0	0	0	2.5	0	0	1.9	0	0	0	2.5	6	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	0.08	3.41	0	0	2.3	0	0	0	0	0	0	0	0	4.4	0	0	2.3	0	0	0	3.6	2.3	2.3	0	3.6	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	0	4	2.3	0	0	0	0	0	3	3.4	2.3	0	0	0	0	0	0	0	2.3	0	0	0	0	0	5.9	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-0.2	-1.4	0	0	3	0	3.4	2.4	0	0	2.4	0	0	3.4	0	0	2.4	0	0	0	3.9	0	0	0	3.4	0	0	0	0	2.4	2.4	0	0	0	0	0	0	2.4	0	2.4	0	0	0	3.4	0	3.7	2.4	0	0	0	0	3.7	2.4	0	2.4	3.7	0	0	0	0	0	3.9	3.7	3	0	0	2.4	0	0	2.4	0	0	0	3	0	0	0	6.3	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	0.43	-4.44	1.9	0	2.9	0	4.5	3.3	0	0	0	0	0	2.9	1.9	0	0	1.9	0	0	4.8	1.9	0	0	3.3	1.9	0	0	0	2.5	1.9	0	0	0	0	0	0	1.9	0	1.9	0	0	0	3.1	0	1.9	2.9	0	2.5	1.9	0	4.3	0	0	4.1	3.5	2.9	0	1.9	0	0	3.5	4.1	3.1	0	0	0	0	0	0	0	0	0	1.9	0	0	3.1	6.1	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.03	-2.9	0	0	3.1	0	3.8	4.1	0	0	0	0	0	2.8	2.5	0	0	0	1.8	0	2.8	0	3.5	0	3.5	1.8	0	0	0	2.8	3.3	0	0	0	0	0	0	1.8	0	0	0	0	0	1.8	0	2.5	3.5	0	2.5	2.8	0	4.1	1.8	1.8	3.3	2.5	2.5	0	0	0	0	2.8	3.3	3.8	0	0	0	0	0	2.8	0	3.6	0	0	1.8	0	0	6	0	1.8	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	2.28	1.32	0	0	2.5	0	0	0	0	0	0	0	0	3.9	0	0	0	0	0	0	4.8	0	0	0	2.5	2.5	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	3.2	0	0	3.6	0	0	0	0	0	2.5	3.6	0	0	0	0	0	3.9	3.2	3.2	2.5	0	0	0	0	0	0	0	2.5	2.5	2.5	0	3.2	6.2	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-4.37	2.91	2.3	0	0	0	0	0	2.3	2.3	3.3	0	0	2.9	0	0	2.3	2.3	0	0	0	2.9	4.4	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	3.3	2.3	0	0	0	0	2.9	0	0	2.9	2.9	3.3	0	0	0	0	2.9	3.6	2.9	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	5.7	0	2.3	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-1.6	-0.67	0	0	3.3	0	2.5	0	0	0	1.8	0	0	3.5	0	0	0	2.8	0	0	4.5	0	3.8	0	3.1	0	0	0	0	0	1.8	0	0	0	0	0	0	1.8	0	0	1.8	0	0	1.8	0	2.8	2.8	0	1.8	1.8	0	3.1	0	0	3.1	4.1	0	0	0	0	0	3.5	3.7	3.7	0	0	0	0	0	0	0	2.8	0	1.8	0	0	0	6.2	0	1.8	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-1.18	3.68	2.5	0	0	0	0	0	0	0	0	0	0	4	3.1	0	2.5	2.5	0	0	4.9	0	0	0	4.2	2.5	2.5	0	0	0	3.1	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	4	2.5	0	0	0	0	2.5	3.1	2.5	0	0	2.5	0	0	3.1	0	0	0	2.5	0	0	0	6	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-0.46	2.22	0	0	0	0	0	0	1.9	3.9	2.5	1.9	0	3.6	1.9	0	0	0	0	0	4.3	1.9	3.7	0	2.5	0	0	0	0	0	2.5	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	1.9	2.9	0	0	1.9	0	3.9	1.9	0	2.5	3.7	1.9	1.9	0	0	0	2.5	3.6	2.5	1.9	0	0	0	0	1.9	0	0	0	2.5	0	1.9	2.5	5.8	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	2.93	-3.16	0	2.1	2.7	2.1	3.7	2.1	0	0	0	0	0	3.6	0	0	0	0	0	0	4	0	2.7	0	3.6	0	0	2.1	0	0	2.7	0	0	0	0	0	0	0	0	2.1	2.1	0	0	2.1	0	0	3.6	0	0	2.1	0	4.8	0	3.7	3.4	3.6	2.1	0	0	0	0	3.4	4.7	4.3	2.7	0	0	0	0	3.4	0	3.6	0	0	2.1	0	3.1	5.8	0	2.1	2.1	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-3	-3.74	0	0	3.2	3.2	1.9	2.6	0	0	0	0	0	4.1	2.6	0	0	0	0	0	4.8	0	3.2	0	2.6	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	2.6	0	0	1.9	0	0	0	0	0	0	3.9	0	0	0	0	0	4.1	3.8	0	1.9	0	0	0	0	0	0	0	0	1.9	0	0	1.9	6.1	1.9	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	2.75	-1.67	0	0	0	0	3	2.4	0	0	1.8	0	0	3	0	0	1.8	0	1.8	0	4.5	0	1.8	0	3	1.8	1.8	0	0	3	2.4	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	1.8	1.8	0	2.7	2.7	0	4.8	0	0	2.7	3.4	0	0	0	0	0	3.4	3.4	3.5	0	0	0	0	0	1.8	0	0	0	0	0	0	1.8	6.1	0	1.8	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-0.58	1.2	0	0	2.8	0	0	0	2.4	1.8	0	0	0	1.8	0	0	0	0	0	0	3.7	1.8	2.8	0	2.4	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	3.9	0	0	2.8	1.8	1.8	0	0	0	0	3.3	4	2.4	2.8	0	0	0	1.8	0	0	0	0	0	0	0	0	5.8	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	1.82	-4.92	1.2	0	2.6	0	3.1	2.7	1.2	1.2	1.2	0	0	2.4	1.2	0	1.2	1.2	1.2	0	4.4	0	2.4	0	2.6	0	0	0	0	1.2	1.2	0	0	0	0	0	0	0	0	1.2	0	2.1	0	1.2	1.2	2.7	2.4	0	2.6	1.2	0	3.8	0	0	2.1	2.7	0	1.8	0	1.2	0	3.5	3.9	2.7	1.2	0	0	0	0	2.1	0	2.1	0	0	0	1.2	3	6	0	0	1.2	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-1.76	4.22	0	0	0	0	0	0	0	4	0	0	0	1.8	1.8	0	2.4	1.8	0	0	3.3	2.4	1.8	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	1.8	1.8	0	2.8	0	0	1.8	0	2.4	0	0	0	0	2.8	4	2.4	2.4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	2.83	-1.08	1.7	0	0	0	0	1.7	0	0	0	0	0	2.7	0	0	1.7	0	1.7	0	2.7	0	1.7	0	3.2	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	1.7	3	0	1.7	2.3	0	3.8	0	0	0	2.3	1.7	0	0	0	0	3.2	3.7	3.2	0	0	0	1.7	0	0	0	3.2	0	0	0	1.7	0	6	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-0.17	1.4	0	0	0	0	1.9	0	1.9	2.9	0	0	0	4.4	0	0	0	2.5	0	0	4.1	1.9	2.9	0	3.4	0	0	0	0	1.9	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	1.9	0	0	4	0	0	3.5	3.2	0	0	0	0	0	3.2	3.8	3.4	0	0	0	0	0	0	0	1.9	0	2.5	0	0	2.5	6	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	2.34	3.05	0	0	0	0	0	0	2.5	1.9	0	0	0	2.9	0	0	1.9	0	0	0	3.1	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	1.9	0	2.5	0	4.4	2.5	0	1.9	0	0	0	0	0	0	3.1	3.3	2.9	0	0	0	0	0	0	0	0	0	0	0	0	1.9	6.1	0	0	2.5	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-2.42	-4.17	0	0	0	0	3.2	1.9	0	3.4	1.9	0	0	3.4	2.9	0	0	0	0	0	4.7	0	3.6	0	1.9	0	0	0	0	2.5	1.9	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	1.9	2.5	0	1.9	0	1.9	1.9	2.5	3.2	0	0	0	0	3.6	3.4	3.2	0	0	0	0	0	0	0	0	0	0	0	0	1.9	5.8	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	2.37	2.19	0	2.7	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	2.7	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	4.7	0	0	0	3.7	0	0	0	0	0	3.3	4	3.3	0	0	0	0	0	0	0	0	0	0	0	0	2.7	6.2	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-2.43	-3.62	1.8	0	3.2	0	2.4	1.8	0	0	0	0	0	4.1	2.4	0	1.8	2.8	0	0	4.9	0	2.8	0	2.8	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	1.8	0	0	2.4	0	0	0	0	0	3.4	3.8	1.8	1.8	0	0	0	3.4	4.4	1.8	2.4	0	1.8	0	0	1.8	0	0	0	1.8	0	0	0	6.1	0	1.8	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	2.42	-2.35	0	0	0	0	3.2	0	0	0	0	0	0	3.4	0	0	1.9	0	0	0	4.4	0	3.6	0	2.9	1.9	1.9	0	0	2.9	2.9	0	0	0	0	0	0	0	0	0	0	1.9	0	2.9	0	1.9	2.6	0	1.9	0	0	4.6	0	1.9	0	3.6	0	0	0	0	0	3.6	3.7	4.1	1.9	0	0	0	1.9	0	0	0	0	0	2.6	0	2.6	5.9	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-0.26	0.45	0	0	0	0	2.7	0	0	0	0	0	0	4.3	2.1	2.1	2.1	0	0	0	4.9	0	3.1	0	2.1	0	0	0	0	2.1	2.1	0	0	0	0	2.1	0	2.1	0	0	0	0	0	2.1	0	2.7	2.1	0	0	0	0	0	0	0	4.2	4.7	2.1	2.1	0	0	0	3.4	4.3	2.1	2.7	0	2.1	0	0	0	0	2.1	2.1	0	0	0	2.1	5.6	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-3.56	2.01	0	0	2.5	0	0	0	2.2	0	0	0	0	3	0	0	0	1.6	0	0	3.6	0	0	0	2.8	0	0	0	0	0	2.8	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	1.6	1.6	0	4.1	0	0	2.2	2.8	0	0	0	0	0	3	3.6	3	1.6	0	0	0	0	1.6	0	0	0	1.6	0	0	2.8	6	0	0	0	0
